IMT,IMD,TREATMENT
780,49.6789693935,CONTROL
1290,16.5529453572,CONTROL
1020,48.0104155366,CONTROL
945,36.235341864,CONTROL
1080,19.2353840617,CONTROL
1185,22.803508502,CONTROL
1080,46.0977222865,CONTROL
1575,21.2602916255,CONTROL
1485,36.235341864,CONTROL
1665,75.6439025963,CONTROL
1020,45.1220566907,CONTROL
1230,5.0,CONTROL
1215,70.0927956355,CONTROL
1305,4.12310562562,CONTROL
930,45.0111097397,CONTROL
1380,31.2569992162,CONTROL
1125,18.2482875909,CONTROL
1260,50.3587132481,CONTROL
1110,29.5296461205,CONTROL
1065,103.324730825,CONTROL
1020,42.5440947724,CONTROL
1440,6.0827625303,CONTROL
1455,46.5188133985,CONTROL
1320,25.9615099715,CONTROL
1395,39.8246155035,CONTROL
1350,13.6014705087,CONTROL
1215,10.4403065089,CONTROL
1230,19.0,CONTROL
1515,45.3541618818,CONTROL
1260,49.6487663492,CONTROL
1125,4.472135955,CONTROL
1260,14.3178210633,CONTROL
1335,12.1655250606,CONTROL
1590,42.201895692,CONTROL
1095,45.6946386352,CONTROL
1695,106.16967552,CONTROL
1560,24.1867732449,CONTROL
1995,60.5309838017,CONTROL
1455,8.0622577483,CONTROL
1395,14.7648230602,CONTROL
960,68.0955211449,CONTROL
2325,97.9897953871,CONTROL
2040,37.3630833845,CONTROL
945,80.622577483,CONTROL
2070,34.2344855372,CONTROL
3510,101.636607578,CONTROL
870,39.9624824054,CONTROL
1290,45.2769256907,CONTROL
1965,105.304320899,CONTROL
1875,121.461928192,CONTROL
1590,28.0178514522,CONTROL
2730,68.2641926635,CONTROL
1275,59.2368128785,CONTROL
1395,37.6430604494,CONTROL
1215,34.1320963318,CONTROL
2040,129.247823966,CONTROL
1065,34.9284983931,CONTROL
1230,22.2036033112,CONTROL
1590,51.4003891036,CONTROL
1050,7.07106781187,CONTROL
915,17.4642491966,CONTROL
1245,42.4499705536,CONTROL
1035,30.5286750449,CONTROL
1140,79.9812478022,CONTROL
1245,24.8394846967,CONTROL
1125,26.0192236625,CONTROL
1305,31.2409987036,CONTROL
1290,0.0,CONTROL
1095,14.2126704036,CONTROL
1185,24.6981780705,CONTROL
1095,51.923019943,CONTROL
990,3.16227766017,CONTROL
1050,30.8058436015,CONTROL
1065,15.2643375225,CONTROL
1020,47.4130783645,CONTROL
1170,20.6155281281,CONTROL
1155,38.4707681233,CONTROL
1065,40.0,CONTROL
1155,35.4400902933,CONTROL
1245,26.1725046566,CONTROL
1035,5.83095189485,CONTROL
1260,32.2490309932,CONTROL
1380,35.0,CONTROL
1020,20.0249843945,CONTROL
960,18.0277563773,CONTROL
930,16.4012194669,CONTROL
885,18.0277563773,CONTROL
1260,18.0277563773,CONTROL
1335,21.0237960416,CONTROL
1035,18.6815416923,CONTROL
1275,50.4876222455,CONTROL
1260,36.1247837364,CONTROL
1020,20.0,CONTROL
1020,57.8013840665,CONTROL
1035,13.0,CONTROL
1185,30.4795013083,CONTROL
1170,12.5299640861,CONTROL
1155,30.0,CONTROL
1245,7.21110255093,CONTROL
1200,10.0,CONTROL
1260,16.2788205961,CONTROL
1035,20.6155281281,CONTROL
1065,17.0,CONTROL
1110,35.4682957019,CONTROL
1230,15.2315462117,CONTROL
1230,15.8113883008,CONTROL
1080,18.3847763109,CONTROL
960,29.0688837075,CONTROL
960,29.8328677804,CONTROL
1110,27.3130005675,CONTROL
1095,7.21110255093,CONTROL
1230,21.3775583264,CONTROL
990,6.0,CONTROL
1035,25.179356624,CONTROL
1290,53.9351462406,CONTROL
1140,11.7046999107,CONTROL
900,31.4006369362,CONTROL
1200,4.24264068712,CONTROL
1095,6.0827625303,CONTROL
1080,25.079872408,CONTROL
885,27.0739727414,CONTROL
1185,7.81024967591,CONTROL
1110,26.0192236625,CONTROL
1140,15.1327459504,CONTROL
1005,17.1172427686,CONTROL
990,10.6301458127,CONTROL
1110,9.21954445729,CONTROL
1200,40.4969134626,CONTROL
1140,11.1803398875,CONTROL
1035,33.2415402772,CONTROL
1365,17.88854382,CONTROL
1575,28.2842712475,CONTROL
1080,31.3209195267,CONTROL
1215,35.4682957019,CONTROL
1305,26.0,CONTROL
1140,29.8328677804,CONTROL
1215,31.4006369362,CONTROL
1110,42.0594816896,CONTROL
1095,15.0332963784,CONTROL
1335,29.1547594742,CONTROL
1260,8.54400374532,CONTROL
1155,24.0208242989,CONTROL
1185,26.1725046566,CONTROL
1305,21.6333076528,CONTROL
1110,67.007462271,CONTROL
1140,73.0547739713,CONTROL
1035,119.854077945,CONTROL
1215,28.6356421266,CONTROL
1065,16.0312195419,CONTROL
1065,53.9073278878,CONTROL
1155,56.2938717802,CONTROL
1095,94.6414285606,CONTROL
1965,95.1314879522,CONTROL
1020,72.1803297305,CONTROL
1035,35.7351367704,CONTROL
975,119.82069938,CONTROL
1290,32.6496554346,CONTROL
1485,26.4007575649,CONTROL
1125,59.2283715798,CONTROL
1095,109.370928496,CONTROL
990,70.6823881883,CONTROL
990,8.94427191,CONTROL
1185,33.6005952328,CONTROL
1080,17.8044938148,CONTROL
1065,12.1655250606,CONTROL
900,0.0,CONTROL
1215,5.65685424949,CONTROL
975,16.4924225025,CONTROL
1110,3.0,CONTROL
1170,36.0693775937,CONTROL
1335,5.09901951359,CONTROL
1230,19.1049731745,CONTROL
900,22.825424421,CONTROL
1005,31.304951685,CONTROL
1035,30.5286750449,CONTROL
1155,14.2126704036,CONTROL
1035,21.0237960416,CONTROL
870,22.360679775,CONTROL
1035,7.07106781187,CONTROL
990,14.3178210633,CONTROL
1065,7.07106781187,CONTROL
1260,20.3960780544,CONTROL
1125,2.2360679775,CONTROL
1260,32.6496554346,CONTROL
1335,67.6756972628,CONTROL
1215,32.0156211872,CONTROL
1035,52.6307894678,CONTROL
990,8.0622577483,CONTROL
1095,11.0,CONTROL
1200,21.1896201004,CONTROL
1080,15.5563491861,CONTROL
1080,10.295630141,CONTROL
1155,29.7321374946,CONTROL
1005,16.2788205961,CONTROL
1185,6.0,CONTROL
1065,36.1247837364,CONTROL
1005,26.4007575649,CONTROL
1095,12.1655250606,CONTROL
930,16.9705627485,CONTROL
1275,29.1547594742,CONTROL
1575,12.0830459736,CONTROL
1470,41.629316593,CONTROL
1815,41.7731971484,CONTROL
1245,21.0237960416,CONTROL
1200,14.8660687473,CONTROL
2040,11.401754251,CONTROL
1305,41.2310562562,CONTROL
1500,13.416407865,CONTROL
2025,44.1814440687,CONTROL
1035,24.7588368063,CONTROL
1230,25.495097568,CONTROL
1305,18.0277563773,CONTROL
1155,13.0384048104,CONTROL
1365,10.8166538264,CONTROL
1290,39.0128184063,CONTROL
1365,19.0262975904,CONTROL
1170,9.89949493661,CONTROL
1050,15.2315462117,CONTROL
825,7.21110255093,CONTROL
1155,14.3178210633,CONTROL
1050,2.2360679775,CONTROL
990,24.5153013443,CONTROL
1035,27.7848879789,CONTROL
1305,24.6981780705,CONTROL
1605,28.1602556807,CONTROL
1290,13.0384048104,CONTROL
1260,24.5153013443,CONTROL
1095,32.2490309932,CONTROL
1215,22.825424421,CONTROL
1320,17.8044938148,CONTROL
1305,20.2484567313,CONTROL
1185,11.7046999107,CONTROL
1575,14.3178210633,CONTROL
1365,17.0,CONTROL
975,44.72135955,CONTROL
1200,5.83095189485,CONTROL
1230,82.1340367935,CONTROL
1185,27.7848879789,CONTROL
1290,39.0512483795,CONTROL
1140,10.6301458127,CONTROL
1605,21.9544984001,CONTROL
1530,34.9857113691,CONTROL
1335,13.0384048104,CONTROL
1335,41.0,CONTROL
1140,83.868945385,CONTROL
1050,47.8016736109,CONTROL
1170,35.4682957019,CONTROL
1140,14.5602197786,CONTROL
1710,32.2024843762,CONTROL
1245,10.0,CONTROL
1545,19.2353840617,CONTROL
1095,5.0,CONTROL
1305,8.24621125124,CONTROL
1335,31.1448230048,CONTROL
1350,25.9615099715,CONTROL
1140,21.5406592285,CONTROL
1305,38.8973006776,CONTROL
1170,57.2800139665,CONTROL
1140,67.5425791631,CONTROL
1215,102.18121158,CONTROL
1230,54.2309874518,CONTROL
1200,7.61577310586,CONTROL
1155,18.4390889146,CONTROL
1230,22.803508502,CONTROL
1230,19.6977156036,CONTROL
1590,102.625532885,CONTROL
1110,30.886890423,CONTROL
1200,23.3452350599,CONTROL
1455,20.2484567313,CONTROL
1320,24.1660919472,CONTROL
1995,32.6496554346,CONTROL
915,33.9705755029,CONTROL
1020,69.2603782837,CONTROL
990,51.7880295049,CONTROL
1395,49.2544414241,CONTROL
1545,22.360679775,CONTROL
1095,7.28010988928,CONTROL
1020,41.0365690574,CONTROL
1680,24.0831891576,CONTROL
1095,15.5241746963,CONTROL
975,38.275318418,CONTROL
975,7.81024967591,CONTROL
1005,24.6981780705,CONTROL
870,5.83095189485,CONTROL
975,19.1049731745,CONTROL
1440,35.4400902933,CONTROL
1200,20.0,CONTROL
960,25.079872408,CONTROL
1155,4.472135955,CONTROL
1155,11.401754251,CONTROL
1110,43.2781700168,CONTROL
1200,13.4536240471,CONTROL
1170,20.0,CONTROL
900,31.3209195267,CONTROL
1050,25.079872408,CONTROL
1740,6.0,CONTROL
1350,28.6356421266,CONTROL
1080,13.8924439894,CONTROL
1020,22.0227155455,CONTROL
1170,0.0,CONTROL
1050,50.5964425627,CONTROL
1305,52.3545604508,CONTROL
1050,42.2965719651,CONTROL
1095,49.9299509313,CONTROL
1275,15.2315462117,CONTROL
1470,46.1735855225,CONTROL
945,9.48683298051,CONTROL
990,10.1980390272,CONTROL
1080,32.0156211872,CONTROL
990,34.205262753,CONTROL
960,52.5547333739,CONTROL
1545,21.0237960416,CONTROL
1050,17.0293863659,CONTROL
1005,9.48683298051,CONTROL
1185,29.4108823397,CONTROL
1275,210.535032714,CONTROL
1500,26.2488094968,CONTROL
1005,29.4108823397,CONTROL
1080,20.0,CONTROL
1260,60.3738353925,CONTROL
1245,31.7804971641,CONTROL
1185,13.3416640641,CONTROL
1350,15.1327459504,CONTROL
1515,43.1740662898,CONTROL
1020,20.0997512422,CONTROL
1170,29.2745623366,CONTROL
1305,41.5932686862,CONTROL
1320,43.931765273,CONTROL
1125,13.8924439894,CONTROL
1200,23.769728648,CONTROL
1440,25.4558441227,CONTROL
1080,58.4208866759,CONTROL
1020,18.0277563773,CONTROL
1305,21.0950231097,CONTROL
2070,36.3593179254,CONTROL
2085,9.8488578018,CONTROL
1230,60.440052945,CONTROL
2505,25.632011236,CONTROL
1005,30.2654919008,CONTROL
1245,36.2215405525,CONTROL
1365,2.82842712475,CONTROL
1485,33.6005952328,CONTROL
1095,51.2445119013,CONTROL
1170,128.471786786,CONTROL
1605,36.4005494464,CONTROL
930,34.5253530033,CONTROL
1095,51.923019943,CONTROL
1500,10.7703296143,CONTROL
1470,30.3644529014,CONTROL
1155,17.8044938148,CONTROL
1380,108.894444303,CONTROL
1590,30.2324329157,CONTROL
1005,60.6382717432,CONTROL
975,14.8660687473,CONTROL
1560,41.1460812229,CONTROL
1200,22.803508502,CONTROL
915,49.9299509313,CONTROL
1065,43.2666153056,CONTROL
1275,7.28010988928,CONTROL
1695,34.4818792991,CONTROL
1005,30.61045573,CONTROL
1365,46.872166581,CONTROL
615,14.5602197786,CONTROL
1395,14.4222051019,CONTROL
1170,16.0312195419,CONTROL
1155,15.0,CONTROL
975,88.3628881375,CONTROL
1035,12.1655250606,CONTROL
1440,75.1664818919,CONTROL
1215,12.0415945788,CONTROL
840,21.400934559,CONTROL
1200,26.4007575649,CONTROL
1365,71.7843994194,CONTROL
1260,46.3249392876,CONTROL
2055,22.0,CONTROL
1665,31.8276609257,CONTROL
1125,21.0950231097,CONTROL
1020,37.5898922584,CONTROL
1215,85.6037382361,CONTROL
1380,22.8473193176,CONTROL
2325,25.9615099715,CONTROL
1365,52.3259018078,CONTROL
1320,19.7989898732,CONTROL
1305,48.0936586256,CONTROL
1260,26.9258240357,CONTROL
1185,9.43398113206,CONTROL
1155,101.833196945,CONTROL
1125,105.475115549,CONTROL
1140,37.3363094052,CONTROL
1290,170.651692051,CONTROL
1500,28.1602556807,CONTROL
1170,100.284595028,CONTROL
1440,34.885527085,CONTROL
1125,19.2353840617,CONTROL
1095,2.0,CONTROL
1530,27.6586333719,CONTROL
1170,47.0956473573,CONTROL
1365,42.0119030752,CONTROL
1545,25.7099202644,CONTROL
1440,22.1359436212,CONTROL
1185,31.1448230048,CONTROL
1080,29.1547594742,CONTROL
1230,19.2353840617,CONTROL
1170,23.4307490277,CONTROL
1185,86.7294644282,CONTROL
1410,48.0104155366,CONTROL
1080,25.079872408,CONTROL
975,90.2441133814,CONTROL
1080,34.205262753,CONTROL
1680,17.0,CONTROL
1305,19.9248588452,CONTROL
930,60.2992537267,CONTROL
1140,23.6008474424,CONTROL
1095,0.0,CONTROL
1365,38.275318418,CONTROL
1050,12.1655250606,CONTROL
1605,17.0293863659,CONTROL
1140,23.7065391823,CONTROL
1200,18.8679622641,CONTROL
1065,64.8999229584,CONTROL
1140,16.2788205961,CONTROL
1680,65.2763356815,CONTROL
1635,14.8660687473,CONTROL
1005,30.8058436015,CONTROL
2040,23.3452350599,CONTROL
1035,9.0,CONTROL
1290,13.416407865,CONTROL
1305,124.85191228,CONTROL
1140,14.5602197786,CONTROL
1290,36.8781778292,CONTROL
1140,8.94427191,CONTROL
1245,40.249223595,CONTROL
1230,47.6340214553,CONTROL
1275,103.07764064,CONTROL
1425,27.0185121722,CONTROL
1635,38.3275357935,CONTROL
1935,136.619910701,CONTROL
1245,46.6476151588,CONTROL
2160,21.4709105536,CONTROL
2445,104.809350728,CONTROL
1740,41.1460812229,CONTROL
1125,37.2155881319,CONTROL
1305,56.8242905807,CONTROL
1185,33.8378486314,CONTROL
1050,39.0512483795,CONTROL
1230,30.4138126515,CONTROL
1215,7.07106781187,CONTROL
1170,21.0237960416,CONTROL
1080,25.632011236,CONTROL
1230,5.09901951359,CONTROL
1275,27.892651362,CONTROL
1920,4.472135955,CONTROL
1275,32.5729949498,CONTROL
1170,66.4830805544,CONTROL
1155,21.9317121995,CONTROL
1185,20.6155281281,CONTROL
1155,3.0,CONTROL
1365,21.5406592285,CONTROL
1710,10.1980390272,CONTROL
1125,21.5406592285,CONTROL
1455,9.43398113206,CONTROL
1170,24.5153013443,CONTROL
1065,9.8488578018,CONTROL
1065,39.2045915678,CONTROL
1440,90.426765949,CONTROL
1200,112.071405809,CONTROL
1305,34.8281495345,CONTROL
1275,100.801785698,CONTROL
2055,148.637142061,CONTROL
1110,38.0131556175,CONTROL
1095,34.1320963318,CONTROL
1170,52.4690384894,CONTROL
1200,12.0415945788,CONTROL
1305,24.0,CONTROL
1290,33.4215499341,CONTROL
1440,9.0,CONTROL
1305,37.0,CONTROL
1335,5.83095189485,CONTROL
1530,17.1172427686,CONTROL
1230,8.54400374532,CONTROL
1455,29.0688837075,CONTROL
1470,32.2800247831,CONTROL
1335,28.0178514522,CONTROL
1170,65.9241988954,CONTROL
1215,132.075735849,CONTROL
1305,33.8378486314,CONTROL
1275,107.056060081,CONTROL
2040,148.788440411,CONTROL
1260,103.730419839,CONTROL
1665,91.4439719172,CONTROL
1050,59.6824932455,CONTROL
3090,19.6977156036,CONTROL
1095,58.137767415,CONTROL
1380,103.07764064,CONTROL
1275,79.8498591107,CONTROL
1320,34.0147027034,CONTROL
1635,98.3259884263,CONTROL
930,5.09901951359,CONTROL
1320,12.6491106407,CONTROL
1425,31.6227766017,CONTROL
1980,12.5299640861,CONTROL
1245,39.6610640301,CONTROL
1335,43.0813184571,CONTROL
1230,20.0,CONTROL
1455,45.8802789878,CONTROL
3090,87.0919054792,CONTROL
1200,60.440052945,CONTROL
1515,55.9464029228,CONTROL
1770,65.192024052,CONTROL
885,6.32455532034,CONTROL
1155,46.0434577329,CONTROL
1440,33.0605505096,CONTROL
1590,29.8328677804,CONTROL
1785,14.0356688476,CONTROL
1740,16.5529453572,CONTROL
1770,51.2445119013,CONTROL
1305,49.193495505,CONTROL
1380,82.0060973343,CONTROL
1620,15.2643375225,CONTROL
1380,5.0,CONTROL
1230,27.1661554144,CONTROL
2265,49.0917508345,CONTROL
1125,15.8113883008,CONTROL
1080,75.0,CONTROL
1020,40.249223595,CONTROL
1005,50.9215082259,CONTROL
1170,26.9258240357,CONTROL
1035,24.0416305603,CONTROL
1170,1.0,CONTROL
1230,30.8058436015,CONTROL
1410,6.32455532034,CONTROL
1350,19.3132079158,CONTROL
1140,89.0056178002,CONTROL
1110,21.2602916255,CONTROL
1140,38.1837661841,CONTROL
900,24.2074368738,CONTROL
1155,8.94427191,CONTROL
1185,23.3452350599,CONTROL
960,13.9283882772,CONTROL
1395,25.7099202644,CONTROL
1440,30.886890423,CONTROL
930,15.0,CONTROL
1245,53.1413210223,CONTROL
975,43.4626276242,CONTROL
975,41.7851648316,CONTROL
1245,7.81024967591,CONTROL
1650,32.2490309932,CONTROL
1185,26.0768096208,CONTROL
1440,14.0356688476,CONTROL
930,49.244289009,CONTROL
1245,40.3112887415,CONTROL
1170,32.14031736,CONTROL
1230,26.4196896272,CONTROL
1110,14.5602197786,CONTROL
1170,27.5136329844,CONTROL
1170,22.0227155455,CONTROL
960,31.7804971641,CONTROL
1005,48.4664832642,CONTROL
1095,32.0156211872,CONTROL
1125,31.2409987036,CONTROL
1095,6.7082039325,CONTROL
1065,10.0,CONTROL
1125,20.591260282,CONTROL
975,17.4928556845,CONTROL
1305,35.5105618091,CONTROL
1215,26.6270539114,CONTROL
1350,39.3954312072,CONTROL
1290,16.4012194669,CONTROL
1455,22.6715680975,CONTROL
1350,37.6961536499,CONTROL
1065,19.0,CONTROL
1140,50.0,CONTROL
1095,39.8246155035,CONTROL
1785,23.1948270095,CONTROL
1530,29.0688837075,CONTROL
1005,17.0293863659,CONTROL
1215,21.0237960416,CONTROL
1245,27.6586333719,CONTROL
1575,17.4642491966,CONTROL
1440,28.231188427,CONTROL
1530,52.7730992078,CONTROL
1110,23.3238075794,CONTROL
1290,19.4164878389,CONTROL
1305,50.6063237155,CONTROL
1545,42.7551166529,CONTROL
1260,34.2344855372,CONTROL
1305,40.0249921924,CONTROL
1305,28.7923600978,CONTROL
1005,17.88854382,CONTROL
1275,14.1421356237,CONTROL
1425,16.1245154966,CONTROL
1455,15.8113883008,CONTROL
2100,24.3515913238,CONTROL
990,18.6010752377,CONTROL
1125,40.8044115262,CONTROL
1140,36.0555127546,CONTROL
1260,39.6610640301,CONTROL
1140,10.0498756211,CONTROL
1050,13.3416640641,CONTROL
1185,24.6981780705,CONTROL
1545,24.0208242989,CONTROL
1365,56.8594759033,CONTROL
1380,52.810983706,CONTROL
1140,19.0262975904,TPT
2025,46.389654019,TPT
2790,77.8781098898,TPT
1005,59.8080262172,TPT
1590,17.0880074906,TPT
1635,81.215762017,TPT
870,59.6824932455,TPT
1680,21.4709105536,TPT
2520,102.420701033,TPT
1815,109.836241742,TPT
1680,32.0156211872,TPT
915,47.4341649025,TPT
1260,21.8403296678,TPT
1695,37.6563407675,TPT
1785,63.5295206971,TPT
1920,67.1192967782,TPT
1320,35.4682957019,TPT
1695,18.4390889146,TPT
1095,12.0,TPT
1020,37.6961536499,TPT
1020,25.495097568,TPT
1350,13.4536240471,TPT
1260,14.8660687473,TPT
1290,15.6204993518,TPT
1170,5.0,TPT
1380,14.1421356237,TPT
1335,55.0090901579,TPT
1170,13.416407865,TPT
1215,34.6554469023,TPT
1350,47.5078940809,TPT
1275,67.4685111737,TPT
1275,25.9615099715,TPT
1515,74.2428447731,TPT
1125,41.0121933088,TPT
1080,32.14031736,TPT
1500,80.4114419719,TPT
1425,35.6089876295,TPT
1485,66.6408283262,TPT
1215,90.426765949,TPT
1230,73.027392121,TPT
1395,22.0,TPT
1245,21.8403296678,TPT
1500,40.8044115262,TPT
1155,36.0138862107,TPT
1350,34.9284983931,TPT
1320,49.6487663492,TPT
1035,78.5875308176,TPT
1125,16.5529453572,TPT
1065,94.2019108086,TPT
1110,18.2482875909,TPT
2220,52.2015325446,TPT
1245,22.8473193176,TPT
1230,26.2488094968,TPT
1305,12.3693168769,TPT
1275,24.5967477525,TPT
1290,21.2132034356,TPT
1290,13.4536240471,TPT
1425,74.3303437366,TPT
1065,67.7790528113,TPT
1335,100.0,TPT
1155,36.0555127546,TPT
1035,21.0237960416,TPT
1320,28.1602556807,TPT
1875,32.3882694814,TPT
1260,9.05538513814,TPT
1260,25.0,TPT
1320,43.4165866922,TPT
1365,47.539457296,TPT
1320,61.5223536611,TPT
1155,49.4772675074,TPT
1335,12.7279220614,TPT
1380,49.193495505,TPT
1575,74.6726188104,TPT
1200,19.4164878389,TPT
1320,53.1413210223,TPT
1290,93.3809402394,TPT
1140,7.07106781187,TPT
1290,51.0881590978,TPT
1335,23.3238075794,TPT
1095,39.0128184063,TPT
1365,47.8016736109,TPT
1395,39.2937654088,TPT
1065,49.6487663492,TPT
1125,31.4006369362,TPT
1215,28.6006992922,TPT
1935,33.6154726279,TPT
1140,3.60555127546,TPT
1200,21.3775583264,TPT
1665,27.2029410175,TPT
1335,9.21954445729,TPT
1110,9.43398113206,TPT
1035,33.5261092285,TPT
1380,24.8394846967,TPT
1020,28.4429253067,TPT
1155,28.8444102037,TPT
1140,12.2065556157,TPT
1140,11.401754251,TPT
1140,10.8166538264,TPT
1350,23.769728648,TPT
1275,50.6063237155,TPT
1275,15.5241746963,TPT
1410,89.1403387923,TPT
1365,52.2015325446,TPT
1095,50.4876222455,TPT
1095,14.8660687473,TPT
1245,55.6057550978,TPT
1080,10.0,TPT
1200,8.24621125124,TPT
1380,6.0827625303,TPT
1200,36.6196668472,TPT
1140,15.5241746963,TPT
1200,33.3016516107,TPT
1200,45.2216762184,TPT
1440,24.4131112315,TPT
1665,38.0788655293,TPT
1185,36.7695526217,TPT
1305,77.8781098898,TPT
1200,11.6619037897,TPT
1365,15.2970585408,TPT
1365,31.384709653,TPT
1470,80.2122185206,TPT
1140,24.5967477525,TPT
1500,7.07106781187,TPT
1410,39.0512483795,TPT
1500,25.0,TPT
1365,26.9072480941,TPT
1410,54.1294744109,TPT
990,14.2126704036,TPT
1185,1.41421356237,TPT
1380,13.3416640641,TPT
1260,38.5875627631,TPT
1410,12.3693168769,TPT
1410,5.65685424949,TPT
1215,24.1660919472,TPT
1185,35.8468966579,TPT
1260,32.5269119346,TPT
1380,34.0,TPT
1290,18.0277563773,TPT
1485,25.079872408,TPT
1485,5.65685424949,TPT
1110,24.8394846967,TPT
1140,48.8466989673,TPT
1275,19.3132079158,TPT
1530,24.0416305603,TPT
1470,6.40312423743,TPT
1245,18.973665961,TPT
1680,32.6496554346,TPT
1620,36.7967389859,TPT
1035,22.6715680975,TPT
1215,23.1948270095,TPT
1605,8.0622577483,TPT
1590,21.0237960416,TPT
1095,18.1107702763,TPT
1530,18.2482875909,TPT
1440,12.7279220614,TPT
1215,73.4302390027,TPT
960,70.8590149522,TPT
1290,30.0166620396,TPT
1500,28.6530975638,TPT
1380,36.0555127546,TPT
1155,17.2046505341,TPT
1095,57.3149195236,TPT
1245,11.7046999107,TPT
1305,27.0739727414,TPT
1260,17.0,TPT
1215,43.0464865001,TPT
1380,23.3452350599,TPT
1485,20.0,TPT
1500,43.1740662898,TPT
1260,20.8806130178,TPT
1185,33.2415402772,TPT
1275,16.7630546142,TPT
1290,9.21954445729,TPT
1305,28.1602556807,TPT
1185,11.0453610172,TPT
1395,28.8617393793,TPT
1455,35.7351367704,TPT
1305,27.5862284483,TPT
990,38.6005181312,TPT
3180,43.0116263352,TPT
1485,31.4006369362,TPT
1125,9.43398113206,TPT
1170,23.0867927612,TPT
1980,147.827602294,TPT
1200,25.5538646784,TPT
1845,22.803508502,TPT
3555,29.7321374946,TPT
1395,32.6955654485,TPT
1695,0.0,TPT
1395,2.82842712475,TPT
3270,41.400483089,TPT
1125,54.0370243444,TPT
1590,27.1661554144,TPT
1635,39.8120584748,TPT
1830,8.60232526704,TPT
2070,14.8660687473,TPT
1455,3.16227766017,TPT
1800,6.0827625303,TPT
1020,34.6698716467,TPT
1215,33.6005952328,TPT
1335,31.2569992162,TPT
1080,27.0185121722,TPT
1140,47.0,TPT
1215,10.0,TPT
1425,32.0,TPT
1170,4.24264068712,TPT
1365,28.7923600978,TPT
1050,20.6155281281,TPT
1590,33.9558536927,TPT
1230,44.0454310911,TPT
1305,9.89949493661,TPT
1245,25.9422435421,TPT
1365,38.6005181312,TPT
1200,12.3693168769,TPT
1140,20.6155281281,TPT
1200,24.6981780705,TPT
1215,8.0622577483,TPT
1140,20.0249843945,TPT
1155,117.643529359,TPT
990,48.4664832642,TPT
1440,59.3632883186,TPT
1065,7.61577310586,TPT
1305,47.4341649025,TPT
1650,11.1803398875,TPT
1485,97.169954204,TPT
1125,32.0156211872,TPT
1200,74.4311762637,TPT
1845,45.0998891351,TPT
1245,24.0,TPT
930,54.0370243444,TPT
975,17.4642491966,TPT
1110,26.4007575649,TPT
1215,11.7046999107,TPT
1305,1.0,TPT
1305,40.8044115262,TPT
1485,12.5299640861,TPT
1155,19.4164878389,TPT
1005,24.4131112315,TPT
1200,8.24621125124,TPT
1110,3.60555127546,TPT
1215,27.7848879789,TPT
1305,9.21954445729,TPT
990,25.6124969497,TPT
1080,23.0867927612,TPT
1245,14.0356688476,TPT
1365,16.4924225025,TPT
1485,2.82842712475,TPT
1200,15.5241746963,TPT
1365,2.2360679775,TPT
1260,34.9284983931,TPT
1050,23.2594066992,TPT
1245,15.8113883008,TPT
1455,17.2626765016,TPT
1545,37.0540146273,TPT
1125,25.8069758011,TPT
1065,21.0237960416,TPT
1065,39.3954312072,TPT
1035,6.32455532034,TPT
945,18.7882942281,TPT
1035,15.2315462117,TPT
1185,15.5241746963,TPT
1350,21.5870331449,TPT
1185,12.6491106407,TPT
1260,23.5372045919,TPT
1410,9.43398113206,TPT
1050,23.8537208838,TPT
1305,44.283179651,TPT
1335,24.1660919472,TPT
1335,32.7566787083,TPT
1560,32.14031736,TPT
1245,16.1245154966,TPT
1425,46.6476151588,TPT
1275,13.0384048104,TPT
945,67.4759216313,TPT
1125,46.6904701197,TPT
1230,57.706152185,TPT
975,64.7610994348,TPT
1065,27.8567765544,TPT
1185,36.2215405525,TPT
1110,62.0080639917,TPT
1410,46.872166581,TPT
1170,21.0950231097,TPT
1470,19.7989898732,TPT
1155,56.4358042381,TPT
1350,34.7850542619,TPT
1605,27.0739727414,TPT
1320,23.8537208838,TPT
3015,24.6981780705,TPT
2100,34.1320963318,TPT
2415,63.5688603013,TPT
1095,17.0,TPT
1020,9.8488578018,TPT
1320,69.6419413859,TPT
2970,56.0802995712,TPT
2130,46.6904701197,TPT
1080,25.6124969497,TPT
3075,36.8781778292,TPT
2610,108.208132781,TPT
1155,3.16227766017,TPT
885,24.6981780705,TPT
1125,22.0227155455,TPT
1725,30.886890423,TPT
1770,21.9317121995,TPT
900,21.5406592285,TPT
1035,48.3838816136,TPT
1140,30.8058436015,TPT
1155,43.1393092202,TPT
1275,17.0,TPT
1335,4.24264068712,TPT
990,38.2099463491,TPT
1215,16.2788205961,TPT
1485,19.2093727123,TPT
1185,26.1725046566,TPT
1185,30.0166620396,TPT
1290,26.9072480941,TPT
1515,22.360679775,TPT
1245,20.591260282,TPT
1095,16.4012194669,TPT
1290,19.9248588452,TPT
1230,18.3847763109,TPT
1215,38.8329756779,TPT
1200,25.079872408,TPT
1200,24.1660919472,TPT
1170,74.8131004571,TPT
945,37.7359245282,TPT
960,39.4588393139,TPT
1080,22.8473193176,TPT
1215,7.61577310586,TPT
1080,56.0802995712,TPT
1245,42.4264068712,TPT
1410,26.1725046566,TPT
960,20.0249843945,TPT
1560,43.0116263352,TPT
1485,46.6154480832,TPT
1245,32.5729949498,TPT
1065,58.5918083012,TPT
900,45.9673797382,TPT
