IMT,IMD,TREATMENT
1140,19.8494332413,CONTROL
1095,13.0384048104,CONTROL
1290,23.0217288664,CONTROL
1200,44.72135955,CONTROL
1110,18.6010752377,CONTROL
1050,5.38516480713,CONTROL
960,49.8196748283,CONTROL
1035,50.1597448159,CONTROL
1125,65.6201188661,CONTROL
1035,18.3847763109,CONTROL
1065,17.4642491966,CONTROL
1050,40.3112887415,CONTROL
1020,33.3016516107,CONTROL
1215,55.0726792521,CONTROL
1260,58.8982172905,CONTROL
1335,81.4923309275,CONTROL
1050,58.7962583844,CONTROL
1005,34.2344855372,CONTROL
1035,48.9182992345,CONTROL
1395,31.7647603485,CONTROL
1290,21.6333076528,CONTROL
1260,16.6433169771,CONTROL
1230,36.7151195014,CONTROL
1380,5.0,CONTROL
1065,40.7062648741,CONTROL
1080,6.40312423743,CONTROL
1185,11.0453610172,CONTROL
1365,45.5411901469,CONTROL
1245,8.24621125124,CONTROL
1305,49.0917508345,CONTROL
930,22.627416998,CONTROL
1095,6.40312423743,CONTROL
915,32.5576411922,CONTROL
1095,60.141499815,CONTROL
1140,81.0061726043,CONTROL
1485,64.6374504448,CONTROL
1335,30.5941170816,CONTROL
1035,35.5105618091,CONTROL
990,14.0356688476,CONTROL
1320,32.0156211872,CONTROL
1170,34.9284983931,CONTROL
1020,41.400483089,CONTROL
1155,33.5261092285,CONTROL
960,18.4390889146,CONTROL
1035,38.4707681233,CONTROL
1020,25.079872408,CONTROL
1125,24.5153013443,CONTROL
1065,17.0880074906,CONTROL
990,48.3011387029,CONTROL
1350,55.9464029228,CONTROL
1005,25.632011236,CONTROL
960,35.902646142,CONTROL
915,6.0827625303,CONTROL
1215,17.691806013,CONTROL
1035,10.6301458127,CONTROL
1140,22.2036033112,CONTROL
1275,55.6057550978,CONTROL
1695,36.235341864,CONTROL
1095,24.1660919472,CONTROL
1080,21.0950231097,CONTROL
1065,21.0237960416,CONTROL
1125,15.8113883008,CONTROL
1320,37.5765884561,CONTROL
1245,25.6124969497,CONTROL
1290,1.0,CONTROL
1290,47.5078940809,CONTROL
1455,49.9799959984,CONTROL
1110,18.0277563773,CONTROL
3060,126.657017176,CONTROL
3795,85.0881895447,CONTROL
1125,37.4432904537,CONTROL
1110,51.4781507049,CONTROL
1095,25.9422435421,CONTROL
960,11.6619037897,CONTROL
1125,81.6088230524,CONTROL
1170,37.1214223865,CONTROL
1335,16.4924225025,CONTROL
2760,35.4682957019,CONTROL
990,59.8414572015,CONTROL
1065,0.0,CONTROL
1335,31.384709653,CONTROL
1245,50.3289181286,CONTROL
1335,31.304951685,CONTROL
1290,25.495097568,CONTROL
1335,17.4642491966,CONTROL
1260,64.8151216924,CONTROL
1110,21.9317121995,CONTROL
1140,0.0,CONTROL
1200,14.3178210633,CONTROL
1050,25.4558441227,CONTROL
1140,27.2029410175,CONTROL
1335,28.4429253067,CONTROL
1200,40.4969134626,CONTROL
1050,14.1421356237,CONTROL
1275,53.16013544,CONTROL
1380,24.2074368738,CONTROL
1080,32.2490309932,CONTROL
1380,35.6089876295,CONTROL
1275,16.1554944214,CONTROL
1200,71.3442359269,CONTROL
1350,25.2388589282,CONTROL
1170,31.7647603485,CONTROL
1200,58.7962583844,CONTROL
1155,44.687805943,CONTROL
1200,23.3238075794,CONTROL
1590,20.6155281281,CONTROL
1170,16.1245154966,CONTROL
1185,9.21954445729,CONTROL
1245,10.6301458127,CONTROL
1215,22.2036033112,CONTROL
1200,48.2700735446,CONTROL
1125,23.7065391823,CONTROL
1170,28.0178514522,CONTROL
1125,17.0880074906,CONTROL
1170,11.0453610172,CONTROL
1170,16.1245154966,CONTROL
960,37.1618083521,CONTROL
930,36.6742416418,CONTROL
1200,26.5706605112,CONTROL
1185,19.4164878389,CONTROL
1185,40.5215991787,CONTROL
1155,41.400483089,CONTROL
1065,26.0,CONTROL
1110,100.702532242,CONTROL
1110,60.3738353925,CONTROL
975,74.5184540902,CONTROL
1185,11.7046999107,CONTROL
1185,44.1021541424,CONTROL
1155,18.973665961,CONTROL
1185,59.816385715,CONTROL
1260,30.5941170816,CONTROL
1170,37.5765884561,CONTROL
1185,78.4091831357,CONTROL
1185,19.0262975904,CONTROL
1350,25.0199920064,CONTROL
1650,51.7397332811,CONTROL
1320,7.21110255093,CONTROL
1140,4.472135955,CONTROL
1125,79.649231007,CONTROL
1860,23.0867927612,CONTROL
1425,22.0227155455,CONTROL
1080,36.0555127546,CONTROL
1110,21.400934559,CONTROL
1530,54.1479454827,CONTROL
1365,9.43398113206,CONTROL
1395,39.4081209905,CONTROL
1260,42.5440947724,CONTROL
1110,18.0277563773,CONTROL
1155,69.4622199472,CONTROL
1695,53.2634959423,CONTROL
1650,58.463663929,CONTROL
1020,41.2310562562,CONTROL
1230,41.3037528561,CONTROL
1185,35.2278299076,CONTROL
1125,20.2484567313,CONTROL
1230,34.4818792991,CONTROL
1470,67.8969807871,CONTROL
960,70.0071424927,CONTROL
1095,27.5136329844,CONTROL
1155,24.5967477525,CONTROL
1335,25.079872408,CONTROL
1740,23.7065391823,CONTROL
1320,19.3132079158,CONTROL
1095,39.1152144312,CONTROL
1140,42.1070065429,CONTROL
1065,36.6742416418,CONTROL
1050,28.0713376952,CONTROL
1260,26.0768096208,CONTROL
1005,51.0881590978,CONTROL
480,66.1891229735,CONTROL
990,5.09901951359,CONTROL
1320,20.0997512422,CONTROL
1395,21.0237960416,CONTROL
1245,44.7772263545,CONTROL
900,19.6468827044,CONTROL
1020,55.8032257132,CONTROL
1065,27.0185121722,CONTROL
1155,50.0099990002,CONTROL
1005,49.193495505,CONTROL
1125,35.3553390593,CONTROL
1335,79.3095202356,CONTROL
1035,29.6984848098,CONTROL
1320,24.6981780705,CONTROL
1215,47.8016736109,CONTROL
1365,68.4689710745,CONTROL
1335,55.7584074378,CONTROL
1170,14.3178210633,CONTROL
1065,26.0192236625,CONTROL
1020,62.9682459657,CONTROL
1185,13.416407865,CONTROL
1350,55.9464029228,CONTROL
1170,5.09901951359,CONTROL
1335,43.382023927,CONTROL
1230,43.6577599059,CONTROL
1230,33.8378486314,CONTROL
1350,62.0322496771,CONTROL
1140,13.4536240471,CONTROL
1005,11.0453610172,CONTROL
1035,18.4390889146,CONTROL
1170,33.7342555869,CONTROL
1125,57.4891294072,CONTROL
1110,56.8506816142,CONTROL
1200,36.1247837364,CONTROL
1005,22.6715680975,CONTROL
1065,3.60555127546,CONTROL
1635,54.1202365109,CONTROL
1035,14.8660687473,CONTROL
1035,37.6430604494,CONTROL
1020,35.3553390593,CONTROL
1020,0.0,CONTROL
1200,16.2788205961,CONTROL
1470,73.0068489938,CONTROL
1110,53.2634959423,CONTROL
1125,54.4518135602,CONTROL
915,26.0768096208,CONTROL
1035,40.8044115262,CONTROL
1185,30.4138126515,CONTROL
1095,4.0,CONTROL
1050,4.472135955,CONTROL
1200,53.7587202229,CONTROL
1260,10.7703296143,CONTROL
900,36.1247837364,CONTROL
1545,33.2415402772,CONTROL
1170,31.9530906173,CONTROL
1185,14.3178210633,CONTROL
1245,22.0907220344,CONTROL
1305,24.5967477525,CONTROL
945,11.313708499,CONTROL
1110,25.8069758011,CONTROL
1065,22.2036033112,CONTROL
1230,12.6491106407,CONTROL
1095,41.0487515035,CONTROL
1125,7.07106781187,CONTROL
1110,45.3982378513,CONTROL
2070,54.1202365109,CONTROL
990,13.6014705087,CONTROL
1035,37.483329628,CONTROL
1260,17.4642491966,CONTROL
1065,16.1245154966,CONTROL
1365,33.1209903234,CONTROL
1440,34.0587727319,CONTROL
1080,71.309185944,CONTROL
990,39.0512483795,CONTROL
1320,24.0416305603,CONTROL
1530,57.706152185,CONTROL
1290,17.691806013,CONTROL
1320,0.0,CONTROL
1290,3.60555127546,CONTROL
1455,7.07106781187,CONTROL
1110,37.483329628,CONTROL
1380,26.9258240357,CONTROL
1200,60.0083327547,CONTROL
1275,29.4278779391,CONTROL
1410,0.0,CONTROL
1155,37.5366487582,CONTROL
1095,21.0,CONTROL
975,36.3455636908,CONTROL
915,51.1566222497,CONTROL
1395,45.4862616622,CONTROL
1335,95.1314879522,CONTROL
945,18.973665961,CONTROL
1365,41.1096095822,CONTROL
1125,49.244289009,CONTROL
1080,61.2943716829,CONTROL
1170,30.4138126515,CONTROL
1080,77.3886296558,CONTROL
1020,48.3735464898,CONTROL
1035,42.4852915725,CONTROL
1170,54.7083174664,CONTROL
1110,19.1049731745,CONTROL
1290,77.6208734813,CONTROL
1095,83.0060238778,CONTROL
1080,97.1648084442,CONTROL
960,27.892651362,CONTROL
1200,30.5286750449,CONTROL
1185,114.791114639,CONTROL
1020,74.2428447731,CONTROL
1245,48.5489443758,CONTROL
1080,37.0135110466,CONTROL
1185,58.4208866759,CONTROL
4695,39.1152144312,CONTROL
1260,23.769728648,CONTROL
1080,50.6063237155,CONTROL
1095,29.0,CONTROL
1095,10.0,CONTROL
1245,13.416407865,CONTROL
1095,10.0498756211,CONTROL
1140,33.7342555869,CONTROL
1170,34.9284983931,CONTROL
1080,52.172789843,CONTROL
1140,20.0,CONTROL
1830,22.0,CONTROL
1155,24.7386337537,CONTROL
2190,80.4114419719,CONTROL
1125,97.1853898485,CONTROL
1605,42.9534631898,CONTROL
1125,35.2278299076,CONTROL
1545,16.0312195419,CONTROL
1050,21.9317121995,CONTROL
1230,71.1125867902,CONTROL
1035,49.2544414241,CONTROL
1080,31.4006369362,CONTROL
1155,54.4242592968,CONTROL
900,37.6563407675,CONTROL
2940,88.6397202162,CONTROL
1005,35.8468966579,CONTROL
1125,47.4341649025,CONTROL
1035,13.9283882772,CONTROL
1005,30.0,CONTROL
1215,23.0217288664,CONTROL
1425,16.1554944214,CONTROL
1365,22.2036033112,CONTROL
1125,10.295630141,CONTROL
1230,12.0830459736,CONTROL
1230,39.4081209905,CONTROL
1140,17.0293863659,CONTROL
1155,35.1710107901,CONTROL
1425,26.3058928759,CONTROL
1185,35.2278299076,CONTROL
1275,18.973665961,CONTROL
1095,20.0,CONTROL
1080,33.2415402772,CONTROL
1110,23.2594066992,CONTROL
1185,22.0227155455,CONTROL
1440,38.6005181312,CONTROL
1290,36.6878726557,CONTROL
1140,11.401754251,CONTROL
1095,31.304951685,CONTROL
1260,36.3455636908,CONTROL
1125,29.1547594742,CONTROL
1170,45.8802789878,CONTROL
1350,78.0256368125,CONTROL
1140,0.0,CONTROL
1155,41.6173040934,CONTROL
1890,9.8488578018,CONTROL
3540,28.0178514522,CONTROL
2610,17.0,CONTROL
2235,20.591260282,CONTROL
3195,43.8634243989,CONTROL
2025,46.0977222865,CONTROL
1455,32.5269119346,CONTROL
930,7.61577310586,CONTROL
870,9.43398113206,CONTROL
885,13.0384048104,CONTROL
990,65.192024052,CONTROL
990,32.4499614792,CONTROL
990,40.8533964316,CONTROL
1275,14.7648230602,CONTROL
885,12.5299640861,CONTROL
1425,17.2626765016,CONTROL
1065,24.3515913238,CONTROL
900,19.9248588452,CONTROL
945,60.2162768693,CONTROL
1125,24.0416305603,CONTROL
1080,54.7083174664,CONTROL
855,20.0249843945,CONTROL
990,4.472135955,CONTROL
1155,49.0102030194,CONTROL
900,73.8241153012,CONTROL
1215,13.6014705087,CONTROL
1185,36.0138862107,CONTROL
975,57.008771255,CONTROL
1020,12.5299640861,CONTROL
1170,15.0,CONTROL
1170,50.2095608425,CONTROL
1140,22.0907220344,CONTROL
1110,24.4131112315,CONTROL
1125,14.1421356237,CONTROL
1110,26.4007575649,CONTROL
1065,33.8378486314,CONTROL
960,31.1448230048,CONTROL
825,39.0512483795,CONTROL
945,15.1327459504,CONTROL
1065,15.8113883008,CONTROL
810,14.1421356237,CONTROL
930,13.152946438,CONTROL
1050,29.0688837075,CONTROL
1290,19.0262975904,CONTROL
855,12.1655250606,CONTROL
915,4.12310562562,CONTROL
900,35.3836120259,CONTROL
900,30.5941170816,CONTROL
1005,13.3416640641,CONTROL
990,55.0090901579,CONTROL
1320,56.8858506133,CONTROL
900,26.0,CONTROL
1170,76.9415362467,CONTROL
930,40.049968789,CONTROL
1110,21.0950231097,CONTROL
1125,17.691806013,CONTROL
1200,21.4709105536,CONTROL
960,30.5941170816,CONTROL
1020,46.6476151588,CONTROL
1005,20.0,CONTROL
1200,9.05538513814,CONTROL
1140,55.7853027239,CONTROL
1185,28.1602556807,CONTROL
870,21.0950231097,CONTROL
1155,62.8012738724,CONTROL
1275,61.4654374425,CONTROL
1080,33.2415402772,CONTROL
1035,38.0131556175,CONTROL
1080,12.8062484749,CONTROL
1050,20.0,CONTROL
1215,54.5618914628,CONTROL
915,45.2769256907,CONTROL
1170,44.283179651,CONTROL
1155,43.5660418216,CONTROL
1005,24.6981780705,CONTROL
1245,24.5967477525,CONTROL
1050,42.0594816896,CONTROL
1020,41.1946598481,CONTROL
885,25.0,CONTROL
1035,23.5372045919,CONTROL
1155,46.6476151588,CONTROL
1140,38.8973006776,CONTROL
975,14.1421356237,CONTROL
1170,39.1152144312,CONTROL
1155,22.0907220344,CONTROL
1245,31.4006369362,CONTROL
1035,32.14031736,CONTROL
1125,32.2024843762,CONTROL
1140,11.7046999107,CONTROL
1035,36.8917334914,CONTROL
1095,51.4781507049,CONTROL
1140,20.0,CONTROL
990,11.6619037897,CONTROL
1005,22.4722050542,CONTROL
1185,6.7082039325,CONTROL
1350,67.082039325,CONTROL
